Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,224511226,2880.3651743334312,3764498,48.29660026910126,330815,4627540,59.36899145896128,59057,0.7576713607212218,6335,
United States of America,Americas,40675578,12288.6,939266,283.76,0,653099,197.31,9748,2.94,0
India,South-East Asia,33264175,2410.44,236554,17.14,27254,442874,32.09,2122,0.15,219
Brazil,Americas,20989164,9874.49,111300,52.36,14314,586558,275.95,3196,1.5,712
The United Kingdom,Europe,7226280,10644.73,248150,365.54,28614,134200,197.68,971,1.43,56
Russian Federation,Europe,7158248,4905.11,127793,87.57,18178,193468,132.57,5478,3.75,719
France,Europe,6702450,10305.22,64885,99.76,7684,113566,174.61,525,0.81,29
Turkey,Europe,6658251,7894.62,160197,189.94,21352,59886,71.01,1780,2.11,243
Iran (Islamic Republic of),Eastern Mediterranean,5295786,6305.04,166379,198.09,20219,114311,136.1,3637,4.33,487
Argentina,Americas,5224534,11559.78,22129,48.96,930,113402,250.91,958,2.12,46
Colombia,Americas,4928578,9686.12,11598,22.79,1806,125592,246.83,362,0.71,63
Spain,Europe,4903021,10358.65,12185,25.74,0,85218,180.04,116,0.25,0
Italy,Europe,4606413,7723.5,34973,58.64,4664,129919,217.83,404,0.68,34
Indonesia,South-East Asia,4167511,1523.64,34078,12.46,0,138889,50.78,2416,0.88,0
Germany,Europe,4083151,4909.6,72761,87.49,5511,92618,111.36,264,0.32,12
Mexico,Americas,3506743,2719.82,85863,66.6,12511,267524,207.49,4656,3.61,675
Poland,Europe,2893919,7623.98,3253,8.57,270,75425,198.71,46,0.12,0
South Africa,Africa,2858195,4819.18,38250,64.49,3961,84877,143.11,1458,2.46,126
Ukraine,Europe,2317824,5299.85,19517,44.63,1205,54360,124.3,359,0.82,18
Philippines,Western Pacific,2227367,2032.62,146451,133.65,21411,35145,32.07,911,0.83,167
Peru,Americas,2160327,6552.03,6195,18.79,1021,198728,602.72,281,0.85,55
Malaysia,Western Pacific,1979698,6116.6,134863,416.68,19198,20711,63.99,2492,7.7,292
Netherlands,Europe,1970914,11322.16,16810,96.57,2129,18069,103.8,32,0.18,1
Iraq,Eastern Mediterranean,1950765,4849.94,33473,83.22,3554,21496,53.44,396,0.98,51
Czechia,Europe,1683315,15740.83,2611,24.42,136,30414,284.4,5,0.05,1
Chile,Americas,1644071,8600.41,2980,15.59,441,37232,194.77,142,0.74,31
Japan,Western Pacific,1639545,1296.32,68173,53.9,16454,16797,13.28,443,0.35,55
Canada,Americas,1538093,4075.27,22858,60.56,0,27170,71.99,153,0.41,0
Bangladesh,South-East Asia,1530413,929.27,13247,8.04,0,26931,16.35,303,0.18,0
Thailand,South-East Asia,1394756,1998.22,100234,143.6,12583,14485,20.75,1443,2.07,132
Belgium,Europe,1205516,10462.33,8402,72.92,0,25454,220.91,31,0.27,0
Pakistan,Eastern Mediterranean,1204520,545.3,25215,11.42,3153,26720,12.1,545,0.25,58
Israel,Europe,1176270,13589.79,56606,653.99,7686,7383,85.3,160,1.85,13
Sweden,Europe,1138017,11019.19,6468,62.63,0,14703,142.37,2,0.02,0
Romania,Europe,1122653,5808.18,15610,80.76,1849,35036,181.26,280,1.45,46
Portugal,Europe,1055584,10252.46,8537,82.92,911,17861,173.48,63,0.61,8
Kazakhstan,Europe,915383,4875.1,27195,144.83,3142,15031,80.05,608,3.24,608
Morocco,Eastern Mediterranean,904647,2450.92,23605,63.95,1953,13546,36.7,553,1.5,58
Serbia,Europe,816912,11793.66,37189,536.89,5003,7548,108.97,169,2.44,28
Hungary,Europe,815605,8348.46,1917,19.62,873,30098,308.08,28,0.29,12
Jordan,Eastern Mediterranean,807384,7913.1,7144,70.02,883,10548,103.38,85,0.83,6
Switzerland,Europe,804575,9296.48,11459,132.4,0,10519,121.54,24,0.28,0
Nepal,South-East Asia,777163,2667.29,6404,21.98,0,10949,37.58,91,0.31,0
Cuba,Americas,745202,6579.21,55528,490.24,8034,6299,55.61,596,5.26,80
United Arab Emirates,Eastern Mediterranean,728886,7369.63,5623,56.85,620,2062,20.85,16,0.16,0
Austria,Europe,706648,7938.92,14102,158.43,1891,10623,119.35,32,0.36,0
Tunisia,Eastern Mediterranean,685799,5802.7,10608,89.76,780,24244,205.13,398,3.37,39
Greece,Europe,615157,5739.17,14571,135.94,1319,14169,132.19,283,2.64,28
Lebanon,Eastern Mediterranean,613498,8988.4,6962,102,785,8192,120.02,103,1.51,11
Viet Nam,Western Pacific,613375,630.15,89068,91.5,12026,15279,15.7,2205,2.27,261
Georgia,Europe,581815,14584.85,15858,397.53,946,8233,206.38,366,9.17,48
Saudi Arabia,Eastern Mediterranean,545992,1568.32,749,2.15,80,8623,24.77,44,0.13,6
Guatemala,Americas,509654,2844.75,21756,121.44,0,12665,70.69,400,2.23,0
Ecuador,Americas,505262,2863.8,1495,8.47,187,32444,183.89,93,0.53,79
Belarus,Europe,503073,5323.91,12147,128.55,1907,3917,41.45,80,0.85,12
Bolivia (Plurinational State of),Americas,494664,4237.67,2155,18.46,0,18582,159.19,75,0.64,14
Costa Rica,Americas,489784,9614.7,15121,296.83,0,5754,112.95,161,3.16,0
Sri Lanka,South-East Asia,485922,2269.26,19973,93.27,0,11296,52.75,976,4.56,0
Bulgaria,Europe,471272,6779.45,9239,132.91,437,19522,280.83,407,5.85,53
Panama,Americas,462010,10707.65,2491,57.73,420,7131,165.27,50,1.16,9
Azerbaijan,Europe,460092,4537.77,17220,169.84,5048,6103,60.19,261,2.57,72
Paraguay,Americas,459257,6438.9,413,5.79,50,16097,225.68,108,1.51,64
Myanmar,South-East Asia,431833,793.67,13862,25.48,0,16530,30.38,545,1,0
Kuwait,Eastern Mediterranean,410784,9618.95,514,12.04,50,2431,56.92,8,0.19,1
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,399174,7824.77,16029,314.21,1601,4085,80.08,90,1.76,18
Slovakia,Europe,398744,7305.85,2563,46.96,54,12560,230.13,9,0.16,2
Uruguay,Americas,386562,11128.15,1005,28.93,152,6039,173.85,5,0.14,2
Croatia,Europe,384082,9464.43,6060,149.33,974,8447,208.15,72,1.77,20
Ireland,Europe,366659,7385.71,9878,198.98,1346,5155,103.84,43,0.87,0
Dominican Republic,Americas,352762,3251.89,1024,9.44,0,4014,37,2,0.02,0
Denmark,Europe,352373,6051.65,3394,58.29,444,2611,44.84,21,0.36,0
Honduras,Americas,350879,3542.58,7072,71.4,0,9319,94.09,296,2.99,0
Venezuela (Bolivarian Republic of),Americas,346755,1219.43,7500,26.38,1195,4192,14.74,106,0.37,13
Libya,Eastern Mediterranean,323930,4714.25,8512,123.88,1443,4427,64.43,104,1.51,17
Ethiopia,Africa,323104,281.05,8120,7.06,367,4929,4.29,166,0.14,22
Lithuania,Europe,308956,11057.48,5977,213.92,492,4711,168.61,99,3.54,23
Oman,Eastern Mediterranean,303105,5935.52,437,8.56,69,4089,80.07,14,0.27,2
Egypt,Eastern Mediterranean,292957,286.27,2930,2.86,481,16871,16.49,82,0.08,11
Slovenia,Europe,276174,13177.11,5867,279.93,559,4793,228.69,5,0.24,0
Republic of Moldova,Europe,274812,6812.46,4593,113.86,213,6521,161.65,86,2.13,14
Republic of Korea,Western Pacific,274415,535.24,12638,24.65,1433,2360,4.6,33,0.06,1
Bahrain,Eastern Mediterranean,273743,16087.62,735,43.2,121,1388,81.57,0,0,0
Armenia,Europe,249146,8407.91,3882,131.01,296,5018,169.34,94,3.17,16
Kenya,Africa,243725,453.26,3553,6.61,269,4906,9.12,120,0.22,4
Mongolia,Western Pacific,240938,7349.5,8430,257.15,0,976,29.77,19,0.58,0
Qatar,Eastern Mediterranean,234642,8144.31,1075,37.31,298,604,20.96,2,0.07,0
Bosnia and Herzegovina,Europe,221980,6766,4832,147.28,436,10033,305.81,148,4.51,17
Zambia,Africa,207938,1131.08,824,4.48,102,3631,19.75,15,0.08,2
Algeria,Africa,200068,456.24,2409,5.49,246,5578,12.72,179,0.41,20
Nigeria,Africa,199151,96.61,5507,2.67,446,2598,1.26,110,0.05,7
North Macedonia,Europe,183523,8808.91,3478,166.94,464,6259,300.43,194,9.31,23
Kyrgyzstan,Europe,177226,2716.44,644,9.87,68,2574,39.45,20,0.31,2
Puerto Rico,Americas,176790,6179.63,2807,98.12,462,2998,104.79,79,2.76,3
Norway,Europe,173344,3229.46,5083,94.7,0,827,15.41,5,0.09,0
Uzbekistan,Europe,164890,492.66,4379,13.08,526,1159,3.46,39,0.12,6
Botswana,Africa,163665,6959.65,4348,184.89,0,2325,98.87,49,2.08,0
Albania,Europe,157026,5456.46,6029,209.5,864,2543,88.37,28,0.97,4
Kosovo[1],Europe,156959,8740.99,4833,269.15,424,2785,155.1,166,9.24,23
Afghanistan,Eastern Mediterranean,154094,395.84,560,1.44,104,7169,18.42,28,0.07,2
Mozambique,Africa,149207,477.38,1422,4.55,119,1892,6.05,20,0.06,0
Latvia,Europe,147193,7715.83,2561,134.25,393,2609,136.76,21,1.1,2
Estonia,Europe,146884,11052.42,2883,216.93,177,1313,98.8,11,0.83,1
Finland,Europe,133851,2422.51,3341,60.47,213,1039,18.8,0,0,0
Namibia,Africa,126290,4970.28,796,31.33,87,3435,135.19,28,1.1,4
Zimbabwe,Africa,126269,849.56,739,4.97,49,4538,30.53,72,0.48,2
China,Western Pacific,123544,8.4,313,0.02,66,5687,0.39,2,0,0
Ghana,Africa,123521,397.52,3069,9.88,742,1096,3.53,44,0.14,9
Montenegro,Europe,121905,19409.71,3797,604.56,556,1798,286.28,45,7.16,6
Cyprus,Europe,117931,13280.44,1163,130.97,100,528,59.46,13,1.46,0
Uganda,Africa,99701,217.97,0,0,0,3031,6.63,0,0,0
Cambodia,Western Pacific,99504,595.16,4204,25.15,662,2040,12.2,83,0.5,12
El Salvador,Americas,98122,1512.78,2055,31.68,0,3022,46.59,61,0.94,9
Rwanda,Africa,92620,715.09,3938,30.4,227,1172,9.05,67,0.52,8
Cameroon,Africa,84210,317.22,0,0,0,1357,5.11,0,0,0
Maldives,South-East Asia,82822,15321.97,723,133.75,0,227,41.99,0,0,0
Luxembourg,Europe,76632,12239.42,394,62.93,0,834,133.2,4,0.64,0
Jamaica,Americas,75857,2561.73,4513,152.41,560,1731,58.46,112,3.78,27
Australia,Western Pacific,73605,288.65,11999,47.06,1673,1091,4.28,52,0.2,7
Senegal,Africa,73478,438.83,290,1.73,38,1831,10.94,28,0.17,3
Singapore,Western Pacific,71687,1225.35,3027,51.74,520,58,0.99,3,0.05,0
Malawi,Africa,61113,319.46,292,1.53,15,2238,11.7,43,0.22,2
Côte d’Ivoire,Africa,58009,219.91,1154,4.37,225,515,1.95,48,0.18,9
Democratic Republic of the Congo,Africa,56215,62.77,338,0.38,0,1068,1.19,7,0.01,0
Réunion,Africa,51651,5769.05,1305,145.76,0,354,39.54,12,1.34,0
Angola,Africa,50446,153.49,1971,6,98,1339,4.07,81,0.25,12
Guadeloupe,Americas,49515,12374.91,0,0,0,606,151.45,0,0,0
Fiji,Western Pacific,48986,5464.47,1121,125.05,128,535,59.68,27,3.01,0
Trinidad and Tobago,Americas,46995,3358.01,1508,107.75,260,1368,97.75,43,3.07,9
Eswatini,Africa,44863,3866.95,687,59.22,32,1172,101.02,27,2.33,3
French Polynesia,Western Pacific,43711,15560.61,1602,570.29,0,551,196.15,71,25.28,0
Madagascar,Africa,42873,154.83,0,0,0,956,3.45,0,0,0
Martinique,Americas,39373,10492.05,1175,313.11,0,556,148.16,69,18.39,0
Sudan,Eastern Mediterranean,37951,86.55,78,0.18,14,2829,6.45,38,0.09,38
French Guiana,Americas,36859,12340.55,1138,381.01,0,227,76,6,2.01,0
